Diesel,Electric,Hybrid,Other,Petrol,Automatic,Manual,Other,Semi-Auto,year,price,mileage,tax,mpg,engineSize
0,0,0,0,1,1,0,0,0,2018,16600,22958,145,50.4,1.8
1,0,0,0,0,1,0,0,0,2017,14400,32097,145,72.4,2.0
0,0,0,0,1,1,0,0,0,2017,20200,13057,145,53.3,2.0
0,0,0,0,1,1,0,0,0,2017,23700,20278,145,38.7,3.0
1,0,0,0,0,0,1,0,0,2016,12750,52561,0,74.3,2.0
1,0,0,0,0,1,0,0,0,2015,13000,31604,20,67.3,2.0
0,0,0,0,1,0,1,0,0,2016,15900,32011,145,49.6,1.4
1,0,0,0,0,0,1,0,0,2016,15000,39134,30,60.1,2.0
1,0,0,0,0,1,0,0,0,2015,14700,89483,205,47.1,2.0
0,0,0,0,1,1,0,0,0,2015,15000,56291,200,42.8,1.8
1,0,0,0,0,1,0,0,0,2016,16000,47767,20,61.4,2.0
0,0,0,0,1,0,1,0,0,2014,11000,34315,125,53.3,1.4
1,0,0,0,0,0,1,0,0,2016,10200,66369,0,83.1,1.6
1,0,0,0,0,0,1,0,0,2016,18500,34110,30,61.4,2.0
1,0,0,0,0,0,1,0,0,2013,7000,76269,0,74.3,1.6
1,0,0,0,0,0,1,0,0,2016,10600,37840,20,70.6,1.6
1,0,0,0,0,0,1,0,0,2017,16000,26249,30,67.3,1.6
1,0,0,0,0,0,1,0,0,2017,15000,44898,125,57.7,2.0
0,0,0,0,1,0,1,0,0,2017,14000,67161,150,51.4,1.4
0,0,0,0,1,0,1,0,0,2018,18950,17992,150,54.3,1.5
1,0,0,0,0,0,1,0,0,2016,10200,97440,20,70.6,2.0
0,0,0,0,1,0,1,0,0,2017,11700,19268,150,67.3,1.0
0,0,0,0,1,1,0,0,0,2013,11500,51441,125,50.4,1.8
0,0,0,0,1,0,1,0,0,2016,10800,18181,0,67.3,1.0
1,0,0,0,0,0,1,0,0,2016,12500,19494,30,67.3,2.0
1,0,0,0,0,0,1,0,0,2016,16600,32808,30,61.4,2.0
1,0,0,0,0,0,1,0,0,2017,13100,25965,145,65.7,2.0
1,0,0,0,0,0,1,0,0,2016,8300,88215,20,68.9,2.0
0,0,0,0,1,0,1,0,0,2019,16000,5704,145,49.6,1.0
0,0,0,0,1,0,1,0,0,2017,16900,10959,145,51.4,1.4
1,0,0,0,0,1,0,0,0,2016,19600,30201,200,47.1,2.0
0,0,0,0,1,1,0,0,0,2017,21800,19319,145,40.4,2.0
1,0,0,0,0,0,1,0,0,2017,16200,22582,145,61.4,2.0
0,0,0,0,1,0,1,0,0,2017,18700,20052,145,49.6,2.0
1,0,0,0,0,0,1,0,0,2016,16100,16666,30,60.1,2.0
1,0,0,0,0,0,1,0,0,2016,11300,25626,0,74.3,1.6
0,0,0,0,1,0,1,0,0,2016,14100,10460,20,60.1,1.4
1,0,0,0,0,1,0,0,0,2016,16600,43307,125,57.6,2.0
0,0,0,0,1,0,1,0,0,2017,11300,29327,30,55.4,1.4
0,0,0,0,1,0,1,0,0,2017,15600,36714,125,51.4,1.4
0,0,0,0,1,0,1,0,0,2014,10000,28324,125,53.3,1.4
0,0,0,0,1,0,1,0,0,2016,14500,12100,30,56.5,1.4
1,0,0,0,0,0,1,0,0,2017,16100,18001,145,62.8,2.0
0,0,0,0,1,0,1,0,0,2016,10600,28760,30,55.4,1.4
0,0,0,0,1,0,0,0,1,2019,25499,4000,145,44.1,1.5
1,0,0,0,0,0,0,0,1,2019,25499,7897,145,47.9,2.0
1,0,0,0,0,1,0,0,0,2016,15500,24744,125,56.5,3.0
1,0,0,0,0,1,0,0,0,2015,16200,30075,160,51.4,2.0
0,0,0,0,1,0,1,0,0,2017,14000,12577,30,58.9,1.4
1,0,0,0,0,1,0,0,0,2016,17300,24421,30,61.4,2.0
1,0,0,0,0,0,1,0,0,2016,10600,15567,0,76.3,1.6
0,0,0,0,1,0,1,0,0,2018,17500,15207,145,51.4,1.4
0,0,0,0,1,0,1,0,0,2017,15000,14864,145,52.3,1.4
0,0,0,0,1,0,0,0,1,2019,25499,9000,145,38.7,2.0
0,0,0,0,1,0,1,0,0,2019,25000,5000,145,38.7,2.0
0,0,0,0,1,0,0,0,1,2019,31000,4264,145,33.2,2.0
1,0,0,0,0,0,1,0,0,2019,28000,4000,145,42.8,2.0
0,0,0,0,1,0,1,0,0,2019,28000,4000,145,42.2,1.5
1,0,0,0,0,0,1,0,0,2019,21499,2721,145,49.6,1.6
0,0,0,0,1,0,0,0,1,2019,26000,4000,145,42.2,1.5
1,0,0,0,0,0,0,0,1,2016,30000,49649,235,42.2,3.0
0,0,0,0,1,0,1,0,0,2017,17000,14068,145,51.4,1.4
0,0,0,0,1,0,1,0,0,2017,14500,23092,145,52.3,1.4
1,0,0,0,0,1,0,0,0,2017,17500,30682,160,50.4,2.0
0,0,0,0,1,0,1,0,0,2016,10500,18272,0,67.3,1.0
1,0,0,0,0,1,0,0,0,2017,14800,23714,145,68.9,1.6
1,0,0,0,0,1,0,0,0,2016,12000,71311,30,61.4,2.0
1,0,0,0,0,1,0,0,0,2018,22000,29477,145,61.4,2.0
1,0,0,0,0,1,0,0,0,2016,17800,60551,200,47.1,2.0
1,0,0,0,0,1,0,0,0,2017,19800,42071,30,61.4,2.0
1,0,0,0,0,1,0,0,0,2014,19500,55774,235,44.8,3.0
1,0,0,0,0,0,1,0,0,2016,9800,36462,0,76.3,1.6
0,0,0,0,1,0,1,0,0,2016,15500,25376,30,57.6,1.4
1,0,0,0,0,1,0,0,0,2017,16800,39388,145,67.3,2.0
1,0,0,0,0,0,1,0,0,2017,11500,64207,20,67.3,2.0
0,0,0,0,1,0,1,0,0,2017,12100,49221,145,55.4,1.4
1,0,0,0,0,0,1,0,0,2017,12700,27179,0,76.3,1.6
1,0,0,0,0,0,1,0,0,2014,11700,31376,125,58.9,2.0
1,0,0,0,0,1,0,0,0,2015,11500,62668,145,53.3,2.0
0,0,0,0,1,0,1,0,0,2017,17400,10001,145,51.4,1.4
1,0,0,0,0,1,0,0,0,2016,16000,52544,30,61.4,2.0
0,0,0,0,1,0,1,0,0,2016,13100,63097,125,49.6,2.0
1,0,0,0,0,0,1,0,0,2016,14700,72967,30,61.4,2.0
1,0,0,0,0,1,0,0,0,2017,21100,32771,145,70.6,2.0
0,0,0,0,1,1,0,0,0,2018,24400,13303,145,40.4,2.0
0,0,0,0,1,0,1,0,0,2019,18750,2752,145,44.8,1.5
1,0,0,0,0,0,1,0,0,2016,16500,23307,160,49.6,2.0
0,0,0,0,1,0,1,0,0,2017,11000,34551,150,67.3,1.0
1,0,0,0,0,0,1,0,0,2017,13400,25457,150,68.9,1.6
0,0,0,0,1,0,1,0,0,2018,20000,12167,150,50.4,1.4
1,0,0,0,0,1,0,0,0,2015,15400,23237,20,67.3,2.0
1,0,0,0,0,1,0,0,0,2016,15500,11863,160,50.4,2.0
1,0,0,0,0,0,1,0,0,2017,14800,21225,145,72.4,2.0
1,0,0,0,0,1,0,0,0,2015,17100,32083,30,61.4,2.0
1,0,0,0,0,1,0,0,0,2017,25750,17039,145,55.4,2.0
1,0,0,0,0,0,1,0,0,2016,11750,72026,0,74.3,2.0
0,0,0,0,1,0,1,0,0,2017,11200,34824,0,67.3,1.0
0,0,0,0,1,0,1,0,0,2017,12800,20351,30,55.4,1.4
0,0,0,0,1,1,0,0,0,2017,16000,58028,145,52.3,2.0
1,0,0,0,0,1,0,0,0,2017,20000,44783,145,62.8,2.0
1,0,0,0,0,0,1,0,0,2014,11950,60604,20,67.3,2.0
1,0,0,0,0,0,1,0,0,2013,9400,39998,30,65.7,2.0
1,0,0,0,0,1,0,0,0,2017,20000,20852,30,65.7,2.0
1,0,0,0,0,0,1,0,0,2016,13300,79728,30,64.2,2.0
1,0,0,0,0,1,0,0,0,2017,18500,29095,20,64.2,2.0
1,0,0,0,0,0,1,0,0,2013,8300,98940,0,74.3,1.6
0,0,0,0,1,0,1,0,0,2016,13500,22780,30,58.9,1.4
0,0,0,0,1,0,1,0,0,2018,19800,20832,150,47.1,2.0
1,0,0,0,0,1,0,0,0,2016,15400,29196,145,55.4,2.0
0,0,0,0,1,0,1,0,0,2017,13900,14392,145,53.3,1.4
0,0,0,0,1,0,1,0,0,2018,15600,20070,145,52.3,1.4
1,0,0,0,0,1,0,0,0,2016,16200,89334,30,62.8,3.0
0,0,0,0,1,0,1,0,0,2016,10600,21428,0,67.3,1.0
1,0,0,0,0,0,1,0,0,2016,14300,45485,20,70.6,2.0
1,0,0,0,0,0,1,0,0,2016,14700,32704,30,60.1,2.0
0,0,0,0,1,1,0,0,0,2018,19100,42209,145,42.2,2.0
0,0,0,0,1,0,1,0,0,2017,18100,17278,145,48.7,1.4
0,0,0,0,1,0,1,0,0,2017,11400,29515,0,67.3,1.0
1,0,0,0,0,0,1,0,0,2014,11600,43662,20,67.3,2.0
1,0,0,0,0,1,0,0,0,2017,17300,45225,145,62.8,2.0
1,0,0,0,0,0,1,0,0,2017,16400,45491,30,61.4,2.0
0,0,0,0,1,0,1,0,0,2014,17100,52267,235,37.7,2.0
0,0,0,0,1,0,0,0,1,2014,11498,40807,125,50.4,1.8
1,0,0,0,0,0,1,0,0,2014,11698,65959,160,49.6,2.0
0,0,0,0,1,0,0,0,1,2014,18998,47648,260,35.8,2.0
0,0,0,0,1,0,0,0,1,2017,25498,27948,145,40.9,2.0
0,0,0,0,1,0,1,0,0,2013,10498,31169,145,49.6,1.8
0,0,0,0,1,1,0,0,0,2013,9498,42011,145,47.1,2.0
1,0,0,0,0,0,0,0,1,2015,19998,56115,160,50.4,3.0
1,0,0,0,0,0,0,0,1,2015,16798,65835,125,61.4,2.0
1,0,0,0,0,0,0,0,1,2017,23998,63383,145,45.6,3.0
0,0,0,0,1,0,0,0,1,2017,36998,34011,145,34.0,3.0
1,0,0,0,0,0,0,0,1,2014,13998,52132,160,49.6,3.0
1,0,0,0,0,0,1,0,0,2015,15995,38787,145,55.4,2.0
0,0,0,0,1,0,1,0,0,2017,13495,34554,150,55.4,1.4
0,0,0,0,1,0,0,0,1,2017,30985,17502,145,40.4,2.0
0,0,0,0,1,1,0,0,0,2019,29485,3000,145,40.9,2.0
1,0,0,0,0,0,1,0,0,2015,16985,34646,30,61.4,2.0
1,0,0,0,0,0,0,0,1,2017,26485,18000,150,56.5,2.0
0,0,0,0,1,0,0,0,1,2018,23985,17085,150,47.9,1.4
1,0,0,0,0,0,1,0,0,2017,12485,48166,20,72.4,1.6
1,0,0,0,0,0,0,0,1,2015,22485,38421,205,47.1,2.0
1,0,0,0,0,0,1,0,0,2015,16498,46637,30,61.4,2.0
1,0,0,0,0,0,1,0,0,2016,11998,24468,0,74.3,1.6
1,0,0,0,0,1,0,0,0,2017,24985,29343,200,47.1,2.0
1,0,0,0,0,0,1,0,0,2019,17985,8449,145,51.4,1.6
1,0,0,0,0,0,1,0,0,2017,20485,34679,30,65.7,2.0
0,0,0,0,1,0,0,0,1,2018,16985,23860,145,60.1,1.0
0,0,0,0,1,1,0,0,0,2018,30985,21009,145,35.8,3.0
1,0,0,0,0,1,0,0,0,2019,29985,1881,145,47.9,2.0
1,0,0,0,0,0,0,0,1,2019,27985,688,145,47.9,2.0
1,0,0,0,0,1,0,0,0,2019,30985,1863,145,47.9,2.0
1,0,0,0,0,0,0,0,1,2020,62985,10,145,33.2,3.0
0,0,0,0,1,0,0,0,1,2016,44985,49050,325,29.4,4.0
0,0,0,0,1,0,0,0,1,2019,28985,1024,145,38.7,2.0
0,0,0,0,1,0,0,0,1,2019,24985,448,145,39.8,2.0
0,0,0,0,1,0,0,0,1,2019,26985,476,145,39.2,2.0
1,0,0,0,0,1,0,0,0,2019,39985,5201,145,38.7,3.0
0,0,0,0,1,0,0,0,1,2019,21985,2028,145,42.2,1.5
1,0,0,0,0,1,0,0,0,2019,45485,3241,145,39.2,3.0
1,0,0,0,0,1,0,0,0,2019,33985,355,145,39.2,2.0
0,0,0,0,1,1,0,0,0,2019,28985,18,145,39.8,2.0
0,0,0,0,1,1,0,0,0,2019,29985,3122,145,41.5,1.5
0,0,0,0,1,0,1,0,0,2019,28985,824,145,40.9,1.5
1,0,0,0,0,0,0,0,1,2019,31985,2811,145,47.9,2.0
1,0,0,0,0,0,0,0,1,2019,31985,27,145,50.4,2.0
0,0,0,0,1,0,0,0,1,2019,29485,4254,145,38.2,2.0
0,0,0,0,1,0,0,0,1,2019,17985,2252,145,48.7,1.0
1,0,0,0,0,1,0,0,0,2019,20985,3422,145,47.9,1.6
1,0,0,0,0,1,0,0,0,2019,23685,37,145,47.9,1.6
0,0,0,0,1,0,0,0,1,2019,27985,7299,145,38.2,2.0
0,0,0,0,1,0,0,0,1,2019,27985,1414,145,40.9,1.5
1,0,0,0,0,1,0,0,0,2019,36985,5135,145,38.2,2.0
1,0,0,0,0,1,0,0,0,2019,37985,6024,145,38.2,2.0
0,0,0,0,1,0,0,0,1,2020,37985,10,145,32.1,2.0
1,0,0,0,0,1,0,0,0,2019,49985,10,145,33.2,3.0
1,0,0,0,0,1,0,0,0,2019,59995,10,145,33.2,3.0
0,0,0,0,1,0,0,0,1,2020,47895,10,145,30.7,2.0
0,0,0,0,1,0,0,0,1,2020,31985,10,145,42.2,2.0
1,0,0,0,0,1,0,0,0,2015,29985,47606,200,47.9,3.0
0,0,0,0,1,0,0,0,1,2015,12485,26625,30,57.6,1.4
0,0,0,0,1,1,0,0,0,2018,24985,5071,145,50.4,2.0
0,0,0,0,1,0,0,0,1,2015,21985,28011,260,34.9,3.0
1,0,0,0,0,1,0,0,0,2019,34985,10,145,47.1,2.0
1,0,0,0,0,1,0,0,0,2019,29985,10,145,51.4,2.0
1,0,0,0,0,1,0,0,0,2019,34485,10,145,47.1,2.0
0,0,0,0,1,0,1,0,0,2019,19685,10,145,49.6,1.0
1,0,0,0,0,1,0,0,0,2019,34985,10,145,53.3,2.0
1,0,0,0,0,0,0,0,1,2019,43885,10,145,38.2,3.0
1,0,0,0,0,1,0,0,0,2019,35895,2000,145,47.9,2.0
0,0,0,0,1,1,0,0,0,2019,26985,10,145,43.5,1.5
1,0,0,0,0,1,0,0,0,2019,46985,3510,145,36.2,3.0
0,0,0,0,1,1,0,0,0,2019,23985,10,145,44.8,1.5
0,0,0,0,1,1,0,0,0,2019,28985,10,145,39.8,2.0
0,0,0,0,1,1,0,0,0,2019,27985,1010,145,39.8,2.0
1,0,0,0,0,0,0,0,1,2019,28985,500,145,47.9,2.0
0,0,0,0,1,1,0,0,0,2019,29985,10,145,42.8,2.0
1,0,0,0,0,0,1,0,0,2019,21995,10,145,54.3,1.6
0,0,0,0,1,1,0,0,0,2019,31985,10,145,39.8,2.0
1,0,0,0,0,1,0,0,0,2019,32485,10,145,51.4,2.0
1,0,0,0,0,0,1,0,0,2019,21285,10,145,51.4,1.6
1,0,0,0,0,1,0,0,0,2019,56985,1510,145,33.2,3.0
0,0,0,0,1,0,0,0,1,2019,43785,10,145,30.1,2.5
0,0,0,0,1,0,0,0,1,2016,18498,29845,160,45.6,2.0
0,0,0,0,1,0,0,0,1,2014,14995,27355,160,42.8,1.8
1,0,0,0,0,0,1,0,0,2016,17998,20885,30,64.2,2.0
0,0,0,0,1,1,0,0,0,2014,10985,10534,30,56.5,1.2
1,0,0,0,0,0,1,0,0,2016,12995,25895,20,70.6,2.0
0,0,0,0,1,0,1,0,0,2016,11495,32867,0,67.3,1.0
1,0,0,0,0,0,0,0,1,2015,18295,42793,205,47.1,2.0
1,0,0,0,0,0,0,0,1,2015,18998,49039,160,50.4,3.0
1,0,0,0,0,0,1,0,0,2017,18485,22501,145,64.2,1.6
1,0,0,0,0,1,0,0,0,2017,38985,1420,145,50.4,3.0
0,0,0,0,1,1,0,0,0,2019,29485,10,145,40.4,2.0
1,0,0,0,0,0,0,0,1,2017,22998,26939,145,62.8,2.0
1,0,0,0,0,0,0,0,1,2014,18998,24786,205,47.9,3.0
0,0,0,0,1,0,1,0,0,2017,17698,18761,145,51.4,1.4
0,0,0,0,1,1,0,0,0,2019,27995,10,145,40.4,2.0
1,0,0,0,0,0,1,0,0,2019,31985,10,145,42.8,2.0
0,0,0,0,1,1,0,0,0,2019,30995,10,145,38.7,2.0
0,0,0,0,1,0,0,0,1,2017,18998,22295,30,56.5,1.4
0,0,0,0,1,0,1,0,0,2017,16995,18068,145,52.3,1.4
0,0,0,0,1,0,1,0,0,2018,19995,25000,150,42.2,1.5
0,0,0,0,1,0,1,0,0,2017,14495,23043,150,55.4,1.0
1,0,0,0,0,0,0,0,1,2014,12998,80902,125,60.1,2.0
1,0,0,0,0,1,0,0,0,2019,32485,10,145,50.4,2.0
0,0,0,0,1,0,1,0,0,2019,20485,10,145,48.7,1.0
1,0,0,0,0,1,0,0,0,2019,34485,10,145,47.1,2.0
1,0,0,0,0,0,1,0,0,2016,18698,26474,145,52.3,2.0
1,0,0,0,0,0,0,0,1,2013,15998,65458,235,44.1,3.0
0,0,0,0,1,0,1,0,0,2018,16498,34170,150,47.1,1.8
0,0,0,0,1,0,0,0,1,2019,31998,100,145,33.2,2.0
1,0,0,0,0,1,0,0,0,2019,35985,650,145,47.1,2.0
1,0,0,0,0,1,0,0,0,2019,37985,10,145,38.2,2.0
0,0,0,0,1,0,0,0,1,2019,31998,10,145,33.2,2.0
0,0,0,0,1,0,1,0,0,2019,18998,2928,145,41.5,2.0
0,0,0,0,1,0,1,0,0,2018,19485,7157,145,51.4,1.4
1,0,0,0,0,0,0,0,1,2016,19995,31600,160,50.4,2.0
1,0,0,0,0,0,0,0,1,2016,47995,46600,300,39.2,4.0
1,0,0,0,0,0,1,0,0,2019,23485,10,145,56.5,2.0
0,0,0,0,1,0,0,0,1,2018,23998,14078,145,45.6,2.0
1,0,0,0,0,0,1,0,0,2015,17998,13312,125,57.6,2.0
1,0,0,0,0,0,0,0,1,2018,28985,10,145,50.4,2.0
0,0,0,0,1,0,0,0,1,2015,46000,20982,325,29.4,4.0
1,0,0,0,0,0,0,0,1,2018,26995,15600,145,50.4,2.0
1,0,0,0,0,1,0,0,0,2019,33985,5429,145,47.9,2.0
0,0,0,0,1,1,0,0,0,2019,30985,2710,145,40.9,1.5
1,0,0,0,0,1,0,0,0,2019,52985,6423,145,33.2,3.0
0,0,0,0,1,0,1,0,0,2017,12698,11017,150,67.3,1.0
0,0,0,0,1,0,1,0,0,2017,17298,16908,125,51.4,1.4
0,0,0,0,1,0,1,0,0,2017,16498,28801,125,49.6,2.0
0,0,0,0,1,0,1,0,0,2017,16798,23362,145,50.4,1.4
0,0,0,0,1,0,1,0,0,2013,15998,50025,235,37.7,2.0
1,0,0,0,0,0,0,0,1,2018,63985,8450,145,32.8,3.0
1,0,0,0,0,0,0,0,1,2018,27985,1790,145,50.4,2.0
0,0,0,0,1,0,0,0,1,2018,19485,10,145,53.3,1.4
0,0,0,0,1,0,1,0,0,2018,20985,10,145,52.3,1.4
1,0,0,0,0,1,0,0,0,2018,22285,6754,145,52.3,1.6
1,0,0,0,0,0,0,0,1,2014,14500,35423,200,47.9,2.0
0,0,0,0,1,0,0,0,1,2017,25000,16703,200,41.5,2.0
0,0,0,0,1,0,1,0,0,2017,15800,37203,125,51.4,1.4
1,0,0,0,0,0,0,0,1,2013,13500,44405,125,58.9,2.0
1,0,0,0,0,0,1,0,0,2014,12000,79389,165,50.4,2.0
1,0,0,0,0,0,0,0,1,2015,13800,61808,125,57.6,2.0
0,0,0,0,1,0,1,0,0,2016,11000,10491,0,67.3,1.0
0,0,0,0,1,0,1,0,0,2018,19995,19000,150,49.6,2.0
0,0,0,0,1,0,1,0,0,2016,11650,18900,0,67.3,1.0
1,0,0,0,0,0,1,0,0,2014,11850,50900,20,68.9,2.0
1,0,0,0,0,0,1,0,0,2013,12495,49000,325,29.7,2.0
0,0,0,0,1,0,1,0,0,2015,15995,23081,235,39.8,2.0
1,0,0,0,0,0,0,0,1,2020,82995,826,145,29.4,4.0
0,0,0,0,1,0,0,0,1,2019,25990,5987,145,38.2,2.0
1,0,0,0,0,0,0,0,1,2019,30995,2977,145,47.9,2.0
1,0,0,0,0,1,0,0,0,2019,34985,7573,145,39.2,2.0
1,0,0,0,0,0,1,0,0,2019,31995,3055,145,42.8,2.0
0,0,0,0,1,1,0,0,0,2019,29985,22,145,38.7,2.0
1,0,0,0,0,1,0,0,0,2019,28485,2250,145,51.4,2.0
1,0,0,0,0,0,0,0,1,2016,21498,20547,200,47.1,2.0
1,0,0,0,0,1,0,0,0,2019,32895,10,145,39.2,2.0
0,0,0,0,1,0,0,0,1,2016,22998,18828,260,35.8,3.0
0,0,0,0,1,0,0,0,1,2019,35998,28,145,32.1,2.0
1,0,0,0,0,1,0,0,0,2016,29985,38654,200,47.9,3.0
0,0,0,0,1,0,1,0,0,2014,16485,25764,200,40.4,2.0
1,0,0,0,0,0,1,0,0,2016,19485,28402,30,62.8,2.0
0,0,0,0,1,0,1,0,0,2015,13495,17152,30,56.5,1.4
0,0,0,0,1,0,1,0,0,2016,14995,29775,20,60.1,1.4
0,0,0,0,1,0,0,0,1,2017,39995,7801,145,34.0,3.0
1,0,0,0,0,0,0,0,1,2015,22990,60599,240,42.8,3.0
0,0,0,0,1,0,1,0,0,2017,12495,20670,30,57.6,1.4
1,0,0,0,0,1,0,0,0,2019,24985,2257,145,52.3,1.6
1,0,0,0,0,0,1,0,0,2019,24485,4039,145,51.4,1.6
0,0,0,0,1,0,1,0,0,2016,16485,21241,125,52.3,1.4
1,0,0,0,0,0,1,0,0,2016,20485,16945,160,49.6,2.0
0,0,0,0,1,1,0,0,0,2018,24985,18010,145,49.6,1.4
1,0,0,0,0,0,0,0,1,2017,19995,29653,145,62.8,2.0
0,0,0,0,1,0,0,0,1,2014,16000,75159,260,34.9,3.0
1,0,0,0,0,0,0,0,1,2014,14998,33842,200,47.9,2.0
1,0,0,0,0,0,1,0,0,2015,13995,42977,20,67.3,2.0
1,0,0,0,0,0,0,0,1,2019,27990,26,145,47.9,2.0
0,0,0,0,1,0,1,0,0,2016,11995,17454,0,67.3,1.0
0,0,0,0,1,0,1,0,0,2018,15995,17547,150,56.5,1.5
0,0,0,0,1,0,0,0,1,2020,35995,314,150,34.9,2.0
0,0,0,0,1,0,1,0,0,2016,13585,25010,30,58.9,1.4
1,0,0,0,0,0,0,0,1,2019,31985,3278,145,47.9,2.0
1,0,0,0,0,1,0,0,0,2019,32985,1285,145,39.2,3.0
1,0,0,0,0,1,0,0,0,2019,30985,4445,145,47.9,2.0
0,0,0,0,1,0,0,0,1,2020,34798,6998,145,38.2,2.0
1,0,0,0,0,0,0,0,1,2020,40780,6746,145,45.6,2.0
1,0,0,0,0,0,0,0,1,2015,34995,21245,205,47.9,3.0
1,0,0,0,0,0,1,0,0,2017,18995,27394,30,64.2,2.0
0,0,0,0,1,0,1,0,0,2016,12995,29283,0,67.3,1.0
0,0,0,0,1,0,1,0,0,2016,14495,20905,30,56.5,1.4
0,0,0,0,1,0,1,0,0,2017,12995,24386,0,67.3,1.0
0,0,0,0,1,0,0,0,1,2017,24995,11621,150,42.8,2.0
0,0,0,0,1,0,0,0,1,2019,20985,3409,145,43.5,1.5
1,0,0,0,0,0,0,0,1,2016,31995,30172,240,42.2,3.0
1,0,0,0,0,0,1,0,0,2015,13995,27016,30,62.8,2.0
0,0,0,0,1,0,1,0,0,2020,31985,7456,145,40.9,2.0
1,0,0,0,0,0,0,0,1,2019,29490,20,145,55.4,3.0
0,0,0,0,1,0,0,0,1,2019,20495,4781,150,40.9,2.0
0,0,0,0,1,0,0,0,1,2016,21995,40254,205,40.4,2.0
0,0,0,0,1,0,0,0,1,2019,24995,12320,150,40.9,2.0
0,0,0,0,1,0,1,0,0,2018,23995,16534,150,49.6,1.4
0,0,0,0,1,0,0,0,1,2017,22995,20075,150,42.2,2.0
0,0,0,0,1,0,1,0,0,2016,15995,14401,20,60.1,1.0
0,0,0,0,1,0,0,0,1,2016,19995,19430,145,47.9,2.0
0,0,0,0,1,0,0,0,1,2013,26995,28359,565,26.4,4.2
1,0,0,0,0,0,0,0,1,2019,49995,16385,150,33.6,3.0
1,0,0,0,0,0,1,0,0,2014,11995,24764,0,74.3,1.6
0,0,0,0,1,0,1,0,0,2014,11995,26141,125,53.3,1.4
